Incident Date,State,City Or County,Address,# Killed,# Injured,KilledInj
4-Nov-17,Connecticut,Ansonia,High St and Lester St,0,1,1
3-Nov-17,Colorado,Colorado Springs,4165 Lacy Ln,0,1,1
3-Nov-17,Massachusetts,Plymouth,710 State Rd,0,0,0
3-Nov-17,Kansas,Topeka,SE 4th St and SE Lime St,0,1,1
3-Nov-17,New Mexico,Rio Rancho,1704 NM Hwy 528 NW,1,0,1
3-Nov-17,Florida,Mayo,1368 SE CR 420,0,1,1
3-Nov-17,Kansas,Kansas City,234 N 78th St,1,0,1
3-Nov-17,Florida,Jacksonville,13000 block of Blue Eagle Way,0,1,1
3-Nov-17,Missouri,Kansas City,6th and Cleveland,1,0,1
3-Nov-17,Michigan,Mattawan,Main St and W McGillen Ave,0,1,1
3-Nov-17,Kentucky,Paducah (Lone Oak),211 N Concord Ave,0,1,1
3-Nov-17,Maryland,Baltimore,1900 block of Hollins St,0,1,1
3-Nov-17,Illinois,Chicago,1300 S Spaulding Ave,0,1,1
3-Nov-17,Illinois,Chicago,S Wentworth Ave and W 63rd St,0,1,1
3-Nov-17,Minnesota,Minneapolis,10th Ave S and E 24th St,0,4,4
3-Nov-17,Pennsylvania,Uniontown,1 Pershing Ave,1,0,1
3-Nov-17,Kentucky,Lexington,3751 Appian Way,0,0,0
3-Nov-17,Michigan,Lansing,626 Marshall St,0,1,1
3-Nov-17,New Jersey,Brick,Lake Shore Way,0,0,0
3-Nov-17,Texas,Austin,Jonathan Dr and E Highland Mall Blvd,0,1,1
3-Nov-17,Pennsylvania,Belle Vernon,117 Irons St,0,0,0
3-Nov-17,New York,Bronx,Bronx Blvd and E 224th St,1,0,1
3-Nov-17,Michigan,Jackson,300 Block of Moorman Dr,1,0,1
3-Nov-17,Missouri,Saint Louis,9800 Halls Ferry Rd,0,3,3
3-Nov-17,Georgia,Columbus,Farr Rd and Wandering Lane,0,1,1
3-Nov-17,New Jersey,Morristown,Jersey Ave,0,0,0
3-Nov-17,Georgia,Atlanta,Chamblee Tucker Rd,0,0,0
3-Nov-17,Georgia,Atlanta,5600 N Henry Blvd,0,1,1
3-Nov-17,Tennessee,Memphis,Hamilton St and Park Ave,0,1,1
3-Nov-17,North Carolina,Supply,Blackbeard Rd,0,0,0
3-Nov-17,Tennessee,Camden,Jayson St,1,0,1
3-Nov-17,Tennessee,Nashville,100 block of Haynes Park Ct,0,2,2
3-Nov-17,North Carolina,Reidsville,100 Block of Arlington St,0,0,0
3-Nov-17,North Carolina,Harrisburg,N/A,0,0,0
3-Nov-17,North Carolina,Charlotte,Cranbrook Ln,0,0,0
3-Nov-17,Indiana,Fort Wayne,8215 N River Rd,0,0,0
3-Nov-17,Maryland,Baltimore,201 Key Hwy,0,0,0
3-Nov-17,Georgia,Braselton,GA 211 and Friendship Rd,0,1,1
3-Nov-17,California,San Bernardino,3500 block of 21st St,0,2,2
3-Nov-17,South Carolina,North Charleston,5500 Block of Betty Ct,1,0,1
3-Nov-17,California,Ceres,3400 block of McGee Rd,1,0,1
3-Nov-17,Florida,West Palm Beach,Division Ave and 6th St,0,1,1
3-Nov-17,Florida,Miami,NW 49th St and 19th Ave,0,1,1
3-Nov-17,Washington,Auburn,78600 block of 44th Ave S,1,0,1
3-Nov-17,Utah,Layton,I-15 and Layton Pkwy,1,0,1
3-Nov-17,Nevada,Henderson,200 block of Bismark Way,0,0,0
3-Nov-17,Texas,Austin,6000 block of Airport Blvd,0,1,1
2-Nov-17,Michigan,Inkster,Colgate and Wellington,1,0,1
2-Nov-17,Ohio,Toledo,500 block of Columbus St,0,0,0
2-Nov-17,Illinois,Chicago,1400 block of E 69th Pl,0,1,1
2-Nov-17,Ohio,Dayton (Huber Heights),8250 Schoolgate Dr,0,1,1
2-Nov-17,Illinois,Moline,10 block of Vale Ct,0,0,0
2-Nov-17,Ohio,West Portsmouth,2884 Careys Run Pond Creek Rd,0,0,0
2-Nov-17,Connecticut,Wethersfield,Middletown Ave,0,0,0
2-Nov-17,Connecticut,Wethersfield,Alison Ln,1,0,1
2-Nov-17,Illinois,Peoria,3400 W Oakcrest Dr,0,0,0
2-Nov-17,Michigan,Lansing,Irving Ave,0,1,1
2-Nov-17,Wisconsin,Milwaukee,4600 Block of W Capitol Dr,0,1,1
2-Nov-17,Louisiana,Arnaudville,1000 block of Kennedy Drive,1,0,1
2-Nov-17,Kentucky,Radcliff,672 Knox Blvd,1,1,2
2-Nov-17,Texas,Mabank,239 Forest Lane Dr,2,0,2
2-Nov-17,Nevada,Henderson,900 block of Seven Hills Dr,0,1,1
2-Nov-17,Kentucky,Lexington,Village Dr,0,0,0
2-Nov-17,Pennsylvania,Milford,Milford Rd,1,1,2
2-Nov-17,Missouri,Saint Louis,2005 N Florissant Ave,0,3,3
2-Nov-17,Arizona,Tucson,N/A,0,1,1
2-Nov-17,Missouri,Ashland,500 Block of Nickman Road,2,0,2
2-Nov-17,Pennsylvania,Pittsburgh,NA,0,1,1
2-Nov-17,Virginia,Danville,3500 W Main St,1,0,1
2-Nov-17,Michigan,Battle Creek,Gardinia St,0,0,0
2-Nov-17,New Hampshire,Conway,57 Washington St,0,2,2
2-Nov-17,Pennsylvania,Philadelphia,3500 block of Amber St,2,0,2
2-Nov-17,Indiana,Evansville,Monroe Ave and S Evans Ave,0,2,2
2-Nov-17,North Carolina,Charlotte,1900 block of Anderson Street,0,1,1
2-Nov-17,North Carolina,Charlotte,3100 block of Monroe Road,0,0,0
2-Nov-17,Oregon,Hillsboro,N/A,0,0,0
2-Nov-17,Georgia,Savannah,Haven Drive,0,1,1
2-Nov-17,Oregon,Madras,SW L St and S Adams Dr,0,1,1
2-Nov-17,Georgia,Savannah,11709 Largo Drive,1,1,2
2-Nov-17,Maryland,Randallstown,4000 Offutt Rd,0,0,0
2-Nov-17,Oklahoma,Tulsa,1200 block of S Winston Ave,1,0,1
2-Nov-17,California,Bakersfield,2900 block of Daken St,0,0,0
2-Nov-17,New Jersey,Trenton,800 block of E State St,0,1,1
2-Nov-17,Illinois,Waukegan,1400 block of Dugdale Rd,0,2,2
2-Nov-17,Tennessee,Memphis,2856 Hickory Hill Rd,0,0,0
2-Nov-17,New Jersey,Paterson,Rosa Parks Blvd and Hamilton Ave,0,0,0
2-Nov-17,Tennessee,Humboldt,Burrow St,0,0,0
2-Nov-17,New Jersey,Swedesboro (Woolwich Township),US 322 and NJ Tnpke,0,0,0
2-Nov-17,Louisiana,New Orleans,4900 block of Ray Avenue,0,1,1
2-Nov-17,Louisiana,Port Allen,Burbridge Street,1,0,1
2-Nov-17,Louisiana,New Orleans,Spain Street,0,0,0
2-Nov-17,Arkansas,Genoa,Genoa Road,1,0,1
2-Nov-17,New Jersey,Bayville,41 Frederick Dr,0,0,0
2-Nov-17,California,North Highlands,5300 block of President Ave,1,0,1
2-Nov-17,Maryland,Baltimore,200 block of S Collins Ave,1,0,1
2-Nov-17,Indiana,Fort Wayne,2522 Wells St,0,0,0
2-Nov-17,Maryland,Baltimore,700 block of Mura St,1,0,1
2-Nov-17,Maryland,Baltimore,5400 block of Moores Run Dr,1,0,1
2-Nov-17,California,Inglewood,W Queen St and N Oak St,0,0,0
2-Nov-17,California,Compton,2100 block of Aranbe Ave,0,1,1
2-Nov-17,California,Stockton,8400 block of Cherbourg Way,0,2,2
2-Nov-17,California,Pomona,300 block of W McKinley,0,0,0
2-Nov-17,South Carolina,Columbia,4000 Block of Trotter Rd,0,1,1
2-Nov-17,California,San Bernardino,Highland Ave and Orange St,0,0,0
2-Nov-17,South Carolina,Aiken,811 Laurens Street NW,0,1,1
2-Nov-17,Virginia,Williamsburg,1700 block of Skiffes Creek Circle,1,0,1
2-Nov-17,Oklahoma,Norman,515 24th Ave NW,0,0,0
2-Nov-17,Oklahoma,Edmond,N Midwest Blvd and Waterloo Rd,0,1,1
2-Nov-17,Texas,Garland,10560 New Church Rd,0,1,1
2-Nov-17,Louisiana,Plaquemine,Marshall Street and Bubba Street,1,0,1
2-Nov-17,Louisiana,New Orleans,Painters Street and Madrid Street,0,1,1
2-Nov-17,Louisiana,Lafayette,1700 block of Northeast Evangeline Thruway,1,0,1
2-Nov-17,Louisiana,New Orleans,5400 block of Lakeshore Drive,1,0,1
2-Nov-17,South Carolina,Jefferson,J.L. Love Road,0,1,1
2-Nov-17,South Carolina,Columbia,5500 block of North Main Street,0,0,0
2-Nov-17,Florida,Jacksonville,10400 Block of Gailwood Cir E,1,1,2
2-Nov-17,Illinois,Chicago,400 block of W 63rd St,0,1,1
2-Nov-17,Illinois,Chicago,2400 S Wentworth Ave,0,2,2
2-Nov-17,Louisiana,Shreveport,4700 block of Hilry Huckaby Avenue,0,0,0
2-Nov-17,South Carolina,Ladson,Hummingbird Ave and Parlor Dr,0,1,1
2-Nov-17,Florida,Lakeland,726 W Crescent Dr,1,0,1
2-Nov-17,Indiana,Indianapolis,5900 block of Devington Rd,1,0,1
2-Nov-17,Arkansas,Ash Flat,Agnos Rd,0,2,2
2-Nov-17,Florida,Winter Springs,Lisa Loop,0,0,0
2-Nov-17,Florida,Orlando,4700 S Goldenrod Rd,0,1,1
2-Nov-17,Ohio,Dayton,NA,0,1,1
2-Nov-17,Florida,Orlando,711 Lee Rd,0,1,1
2-Nov-17,Alabama,Birmingham,N/A,0,1,1
2-Nov-17,New York,Staten Island,2040 Forest Ave,0,0,0
2-Nov-17,Florida,Perry,N/A,0,1,1
2-Nov-17,Pennsylvania,Philadelphia,1600 block of W Lippincott St,1,0,1
2-Nov-17,Louisiana,Shreveport,5300 block of Norton Avenue,0,1,1
2-Nov-17,Florida,Fort Pierce,500 block of S 31st St,0,1,1
2-Nov-17,Nebraska,Omaha,20th Street and M Street,0,1,1
2-Nov-17,Oklahoma,Oklahoma City,1500 block of Northwest 45th Street,0,1,1
2-Nov-17,Colorado,Colorado Springs,4100 block of Oro Blanco,0,2,2
2-Nov-17,Illinois,Chicago,11200 S Perry Ave,1,0,1
2-Nov-17,Illinois,Chicago,4753 N Broadway,1,2,3
2-Nov-17,District of Columbia,Washington,12th and Jackson street,0,0,0
2-Nov-17,Washington,Pullman,1100 block of S Grand Ave,0,0,0
2-Nov-17,Massachusetts,Lowell,385 Walker St,0,0,0
2-Nov-17,Massachusetts,Boston,W Newton St,0,0,0
2-Nov-17,Texas,Houston,18005 Eastex Fwy,0,2,2
2-Nov-17,Pennsylvania,Philadelphia,2800 block of W Harold St,1,1,2
2-Nov-17,Oregon,Portland,12000 block of SE Bush St,0,0,0
2-Nov-17,Washington,Kent,22200 block of 84th Ave S,1,0,1
2-Nov-17,Washington,Seattle,5th Ave and Battery St,2,1,3
2-Nov-17,Missouri,Saint Louis,Jefferson Ave and Park Ave,0,2,2
2-Nov-17,Missouri,Saint Louis,Union Blvd and Wells Ave,0,1,1
2-Nov-17,Texas,San Antonio,Trinity St and Rivas St,1,0,1
2-Nov-17,Virginia,Chesterfield,6500 block of Lothaire Court,0,1,1
2-Nov-17,Missouri,Kansas City,2515 Quincy St,1,0,1
2-Nov-17,Connecticut,Bridgeport,E Washington and Knowlton St,0,1,1
2-Nov-17,Florida,Sanford,709 Willow Ave,1,0,1
2-Nov-17,Wisconsin,Milwaukee,600 block of N. Broadway,0,1,1
2-Nov-17,Nevada,Reno,Parkview St and Mazzone Ave,1,0,1
1-Nov-17,Michigan,Inkster,28000 block of Parkwood,1,0,1
1-Nov-17,Ohio,Cincinnati,Muddy Creek Rd and Glenmore Ave,0,0,0
1-Nov-17,Illinois,Lincoln,106 Wyatt Ave,0,0,0
1-Nov-17,Kentucky,Lexington,1813 Charleston Dr,0,0,0
1-Nov-17,Kentucky,Pippa Passes,Hemppatch Branch Road,1,0,1
1-Nov-17,Missouri,Kansas City,E 16th St and Lister Ave,1,0,1
1-Nov-17,Florida,Saint Augustine,Shady Oak Cir,0,1,1
1-Nov-17,New Jersey,Elizabeth,2nd St and Court St,2,0,2
1-Nov-17,Montana,Vaughn,Four Mile Rd,1,0,1
1-Nov-17,California,Walnut Grove,N/A,0,0,0
1-Nov-17,California,Weaverville,1665 Main St,0,0,0
1-Nov-17,Illinois,Rockford,126 Lakin Terrace,0,0,0
1-Nov-17,Kentucky,Lexington,Man O War Blvd and Buckhorn Drive,0,1,1
1-Nov-17,Indiana,Fort Wayne,2100 block of Hobson Rd,0,0,0
1-Nov-17,Maryland,Columbia,Flowerstock Way,0,0,0
1-Nov-17,Maryland,Columbia,Swift Stream Pl,0,0,0
1-Nov-17,Florida,Fort Myers,9701 Orange River Blvd,0,1,1
1-Nov-17,Illinois,Chicago,1200 S Lawndale Ave,0,1,1
1-Nov-17,Illinois,Chicago,3300 W Congress Pkwy,1,0,1
1-Nov-17,Illinois,Chicago,600 S Kostner Ave,0,1,1
1-Nov-17,Pennsylvania,Verona,900 block of Allegheny River Blvd,1,0,1
1-Nov-17,Illinois,Chicago,1000 block of W 59th St,0,1,1
1-Nov-17,Illinois,Chicago,1100 S Richmond St,0,1,1
1-Nov-17,Virginia,Richmond,Whitcomb St and Sussex St,0,0,0
