month,state,city,killinj,# Injured,Address,r,g,b
5-Nov-17,California,Oakland,1,1,1700 block of 78th Ave,255,40,0
5-Nov-17,North Carolina,Hubert,0,0,221 Riggs Rd,255,40,0
5-Nov-17,North Carolina,Durham,0,0,E Main St and S Elm St,255,40,0
5-Nov-17,Alabama,Tuscaloosa,0,1,1400 block of 6th Street,255,40,0
5-Nov-17,Arkansas,North Little Rock,1,0,Henderson Road and East Valentine Road,255,40,0
5-Nov-17,Texas,Sutherland Springs,27,30,216 4th St,255,40,0
5-Nov-17,South Carolina,Laurens,1,0,100 Block of Colonial Acres Rd,255,40,0
5-Nov-17,South Carolina,Walterboro,1,2,2444 Robertson Blvd,255,40,0
5-Nov-17,Louisiana,Baton Rouge,1,0,1900 block of Bradfield Avenue,255,40,0
5-Nov-17,Florida,Naples,1,0,1100 Block of 6th Ave N,255,40,0
5-Nov-17,Indiana,New Albany,1,0,2750 Charlestown Rd,255,40,0
5-Nov-17,Indiana,Indianapolis,0,1,4000 Brentwood Dr,255,40,0
5-Nov-17,Mississippi,Meridian,1,1,Poplar Springs Drive,255,40,0
5-Nov-17,Florida,Lake Worth,1,0,400 Block of S F St,255,40,0
5-Nov-17,Florida,Jacksonville,0,1,St Nicholas Ave,255,40,0
5-Nov-17,Indiana,Franklin,0,1,1500 block of Younce St,255,40,0
5-Nov-17,Florida,Tampa,0,0,E Giddens Ave,255,40,0
5-Nov-17,Illinois,Chicago,0,0,6700 S East End Ave,255,40,0
5-Nov-17,Illinois,Chicago,1,0,10500 S Green St,255,40,0
5-Nov-17,Illinois,Chicago,0,1,500 E 38th St,255,40,0
5-Nov-17,Kansas,Kansas City,1,0,2600 block of N 21st St,255,40,0
5-Nov-17,Kansas,Overland Park,0,0,9600 block of Outlook Dr,255,40,0
5-Nov-17,Texas,Dallas,1,0,8411 La Prada Dr E,255,40,0
5-Nov-17,Illinois,Rockford,0,0,E State St and Dawn Ave,255,40,0
5-Nov-17,Texas,Dallas,0,1,7400 block of Piedmont Dr,255,40,0
5-Nov-17,Connecticut,Bridgeport,0,1,1300 block of Sylvan Ave,255,40,0
4-Nov-17,Connecticut,Norwalk,0,1,64 Wall St,255,40,0
4-Nov-17,New York,Brooklyn,1,0,254 Wortman Ave,255,40,0
4-Nov-17,Tennessee,Nashville,0,0,1027 12th Ave N,255,40,0
4-Nov-17,Minnesota,Redwood (county),0,1,N/A,255,40,0
4-Nov-17,Michigan,Cedar Springs,0,0,4175 17 Mile Rd NE,255,40,0
4-Nov-17,Michigan,Saginaw,1,0,422 McGregor St,255,40,0
4-Nov-17,Alabama,Birmingham,1,0,400 block of Oporto Madrid boulevard,255,40,0
4-Nov-17,Minnesota,Minneapolis,0,2,Jackson and Harrison,255,40,0
4-Nov-17,California,Fresno,0,0,1401 N Clovis Ave,255,40,0
4-Nov-17,New York,Corona (Queens),1,0,146th Terr,255,40,0
4-Nov-17,Montana,Billings,1,0,2618 King Ave W,255,40,0
4-Nov-17,New Jersey,Atlantic City,0,0,1 block of S South Carolina Ave,255,40,0
4-Nov-17,Texas,Austin,0,4,N Lamar Blvd and Masterson Pass,255,40,0
4-Nov-17,Missouri,Columbia,0,1,500 block of Hickman,255,40,0
4-Nov-17,California,Azusa,0,0,Citrus Ave and Alosta Ave,255,40,0
4-Nov-17,New York,Rochester,0,1,161 Berlin St,255,40,0
4-Nov-17,New York,Stony Creek,0,0,N/A,255,40,0
4-Nov-17,Ohio,Youngstown,0,1,300 block of W Chalmers,255,40,0
4-Nov-17,Ohio,Youngstown,0,4,2810 Market St,255,40,0
4-Nov-17,California,Santa Monica,1,4,1515 Ocean Avenue,255,40,0
4-Nov-17,California,Bakersfield,1,3,1001 S Union Ave,255,40,0
4-Nov-17,Indiana,Evansville,0,1,900 block of Columbia St,255,40,0
4-Nov-17,Louisiana,New Orleans,0,1,8800 block of Apricot Street,255,40,0
4-Nov-17,Louisiana,Marrero,0,1,6500 Block of Lapalco Blvd,255,40,0
4-Nov-17,Indiana,Anderson,0,1,900 block of Walnut St,255,40,0
4-Nov-17,Indiana,Indianapolis,1,0,3500 N Mission Dr,255,40,0
4-Nov-17,South Carolina,Aiken,0,1,Richardsons Lake Rd,255,40,0
4-Nov-17,Virginia,Portsmouth,0,1,2200 block of Columbus Ave,255,40,0
4-Nov-17,Virginia,Portsmouth,0,1,1100 block of Virginia Ave,255,40,0
4-Nov-17,North Carolina,Greenville,0,1,100 Block of Ridge Pl,255,40,0
4-Nov-17,Tennessee,Memphis,1,0,N Highland Rd and James Rd,255,40,0
