Neighborhood,RoofCount,,,,,,,
Mott Haven,24,,,,,,,
Lower East Side,21,,,,,,,
East New York,19,,,,,,,
Long Island City,16,,,,,,,
Harlem,12,,,,,,,
Fordham Heights,11,,,,,,,
University Heights,11,,,,,,,
East Harlem,10,,,,,,,
Chelsea,8,,,,,,,
Bedford Stuyvesant,9,,,,,,,
Brownsville,5,,,,,,,
Crown Heights,9,,,,,,,
Far Rockaway,5,,,,,,,
Fleetwood-Concourse Village,5,,,,,,,
Upper West Side,5,,,,,,,
Bushwick,4,,,,,,,
High Bridge,4,,,,,,,
Hunts Point,4,,,,,,,
Morningside Heights,4,,,,,,,
Morrisania,4,,,,,,,
Murray Hill,4,,,,,,,
Battery Park City,3,,,,,,,
Bowery,3,,,,,,,
Concourse Village,3,,,,,,,
East Village,3,,,,,,,
Flushing,3,,,,,,,
Greenpoint,3,,,,,,,
Kingsbridge Heights,3,,,,,,,
Prospect Heights,3,,,,,,,
Sunset Park,3,,,,,,,
Washington Heights,3,,,,,,,
Astoria,2,,,,,,,
Brighton Beach,2,,,,,,,
Concourse,2,,,,,,,
Coney Island,2,,,,,,,
Elmhurst,2,,,,,,,
Fordham North,2,,,,,,,
Gowanus,2,,,,,,,
Greenwich Village,2,,,,,,,
Hamilton Heights,2,,,,,,,
Jamaica,2,,,,,,,
Manhattan,2,,,,,,,
Midtown,2,,,,,,,
Park Slope,2,,,,,,,
Rego Park,2,,,,,,,
South Williamsburg,2,,,,,,,
Sunnyside,2,,,,,,,
Tompkinsville,2,,,,,,,
West Farms,2,,,,,,,
55 others,1,,,,,,,
,,,,,,,,Alphabet City
,,,,,,,,Arverne
,,,,,,,,Bath Beach
,,,,,,,,Bay Ridge
,,,,,,,,Bayside
,,,,,,,,Bedford Park
,,,,,,,,Bergen Beach
,,,,,,,,Boro Park
,,,,,,,,Briarwood
,,,,,,,,Brooklyn Heights
,,,,,,,,Carol Gardens
,,,,,,,,Carroll Gardens
,,,,,,,,Castle Hill
,,,,,,,,Crotona Park
,,,,,,,,East Corona
,,,,,,,,East Elmhurst
,,,,,,,,East Flushing
,,,,,,,,East Tremont
,,,,,,,,Eastchester
,,,,,,,,Fieldston
,,,,,,,,Financial District
,,,,,,,,Flatiron
,,,,,,,,Flatiron District
,,,,,,,,Fleetwood Concourse Village
,,,,,,,,Forham Heights
,,,,,,,,Forham North
,,,,,,,,Fort Greene
,,,,,,,,Fresh Meadows
,,,,,,,,Gramercy Park
,,,,,,,,Hell's Kitchen
,,,,,,,,Hillcrest
,,,,,,,,Hollis
,,,,,,,,Kips Bay
,,,,,,,,Lincoln Square
,,,,,,,,Mariners Harbor
,,,,,,,,Melrose
,,,,,,,,Middle Village
,,,,,,,,Morningside Heights
,,,,,,,,Morris Heights
,,,,,,,,Morris Park
,,,,,,,,North Riverdale
,,,,,,,,Norwood
,,,,,,,,Oakland Gardens
,,,,,,,,Randall's Island
,,,,,,,,Richmond Hill
,,,,,,,,Soundview
,,,,,,,,South Bronx
,,,,,,,,St Albans
,,,,,,,,St George
,,,,,,,,Theater District
,,,,,,,,Upper East Side
,,,,,,,,West Concourse
,,,,,,,,West side
,,,,,,,,West Village
,,,,,,,,Williamsbridge
