Neighborhood,Address 1,Borough,Zip,Type of Roof
Chelsea,227 West 27th St,Manhattan,10001,Cool Roof
Chelsea,135 W 31st St,Manhattan,10001,Green Roof
Hell's Kitchen,655 West 34th Street,Manhattan,10001,Green Roof
Chelsea,430 West 25th Street,Manhattan,10001,Green Roof
Chelsea,303 Tenth Ave,Manhattan,10001,Green Roof
Chelsea,430 W. 25th Street,Manhattan,10001,Green Roof
Bowery,227 Bowery,Manhattan,10002,Cool Roof
Lower East Side,466 Grand St,Manhattan,10002,Cool Roof
Lower East Side,301 Henry St,Manhattan,10002,Cool Roof
Bowery,184 Eldridge St,Manhattan,10002,Cool Roof
Lower East Side,142 Henry Street,Manhattan,10002,Green Roof
Bowery,333 Bowery,Manhattan,10003,Cool Roof
Lower East Side,25 E 3rd St,Manhattan,10003,Cool Roof
Lower East Side,63 E 4th St,Manhattan,10003,Cool Roof
Lower East Side,89 E 3rd St,Manhattan,10003,Cool Roof
Lower East Side,73 E 4th St,Manhattan,10003,Cool Roof
Lower East Side,77 E 4th St,Manhattan,10003,Cool Roof
Lower East Side,67 E 4th St,Manhattan,10003,Cool Roof
Lower East Side,69 E 4th St,Manhattan,10003,Cool Roof
Lower East Side,65 E 4th St,Manhattan,10003,Cool Roof
Lower East Side,58 E 4th St,Manhattan,10003,Cool Roof
Lower East Side,21 E 3rd St,Manhattan,10003,Cool Roof
Lower East Side,27 E 3rd St,Manhattan,10003,Cool Roof
Lower East Side,56 E 4th St,Manhattan,10003,Cool Roof
Lower East Side,71 E 4th St,Manhattan,10003,Cool Roof
Lower East Side,75 E 4th St,Manhattan,10003,Cool Roof
Lower East Side,83 2nd Ave,Manhattan,10003,Cool Roof
Lower East Side,60 E 4th St,Manhattan,10003,Cool Roof
Lower East Side,23 E 3rd St,Manhattan,10003,Cool Roof
Lower East Side,9 E 3rd St,Manhattan,10003,Cool Roof
East Village,220 East 4th Street,Manhattan,10009,Cool Roof
Manhattan,310 E 3rd St,Manhattan,10009,Cool Roof
East Village,743 East 9th Street and Avenue D,Manhattan,10009,Cool Roof
Alphabet City,195 East 3rd Street,Manhattan,10009,Green Roof
Gramercy Park,127 East 22nd Street,Manhattan,10010,Green Roof
Flatiron District,164 5th Avenue,Manhattan,10010,Green Roof
Flatiron,137 W14th St,Manhattan,10011,Cool Roof
Chelsea,540 21st Street,Manhattan,10011,Cool Roof
Chelsea,641 Avenue of the Americas,Manhattan,10011,Green Roof
West Village,146 West 13th Street,Manhattan,10011,Green Roof
East Village,2 Cooper Square,Manhattan,10012,Green Roof
Greenwich Village,46 Barrow Street,Manhattan,10014,Cool Roof
Greenwich Village,16 Jones Street,Manhattan,10014,Cool Roof
Murray Hill,14 E. 28th St,Manhattan,10016,Cool Roof
Murray Hill,122 East 38th Street,Manhattan,10016,Green Roof
Kips Bay,458 West 30 Street,Manhattan,10016,Green Roof
Murray Hill,149 East 38th Street,Manhattan,10016,Green Roof
Long Island City,601 West 57th Street,Manhattan,10019,Green Roof
Midtown,1250 Avenue of the Americas,Manhattan,10020,Green Roof
Lincoln Square,10 Lincoln Center Plaza,Manhattan,10023,Green Roof
Upper West Side,433 West End Avenue,Manhattan,10024,Green Roof
Upper West Side,149 W108,Manhattan,10025,Cool Roof
Upper West Side,149 Manhattan Ave,Manhattan,10025,Cool Roof
Upper West Side,930 West end Ave,Manhattan,10025,Cool Roof
Harlem,216 West 112th Street,Manhattan,10026,Cool Roof
Harlem,109 W129th st,Manhattan,10027,Cool Roof
Morningside Heights,550 West 120th Street,Manhattan,10027,Green Roof
Upper East Side,331 E. 86th St,Manhattan,10028,Cool Roof
Harlem,118-124 E111th Street,Manhattan,10029,Cool Roof
Upper West Side,207 W 133rd St,Manhattan,10030,Cool Roof
Hamilton Heights,160 Convent Ave,Manhattan,10031,Green Roof
Hamilton Heights,160 Convent Avenue,Manhattan,10031,Green Roof
Washington Heights,500 West 159th Street,Manhattan,10032,Cool Roof
Washington Heights,540 West 159th Street,Manhattan,10032,Cool Roof
Washington Heights,542 West 159th Street,Manhattan,10032,Cool Roof
East Harlem,2295 2nd Avenue,Manhattan,10035,Cool Roof
East Harlem,2383 2nd Ave,Manhattan,10035,Cool Roof
Harlem,4-20 E. 117th Street,Manhattan,10035,Cool Roof
East Harlem,230 123rd St,Manhattan,10035,Cool Roof
Harlem,2080 Lexington Ave,Manhattan,10035,Cool Roof
East Harlem,206 East 118th Street,Manhattan,10035,Cool Roof
East Harlem,221 122nd St,Manhattan,10035,Cool Roof
East Harlem,251 E. 119th Street,Manhattan,10035,Cool Roof
East Harlem,2 E 120th St,Manhattan,10035,Cool Roof
East Harlem,26 E 120th St,Manhattan,10035,Cool Roof
East Harlem,2253 3rd Ave,Manhattan,10035,Cool Roof
Randall's Island,"Five Boro Complex, Randall's Island",Manhattan,10035,Green Roof
East Harlem,1485 Fifth Avenue,Manhattan,10035,Green Roof
Midtown,441 West 47th Street',Manhattan,10036,Cool Roof
West side,424 West 47th,Manhattan,10036,Cool Roof
Theater District,1095 Avenue of the Americas,Manhattan,10036,Green Roof
Harlem,560 Lenox Avenue,Manhattan,10037,Cool Roof
Harlem,50 West 139th st,Manhattan,10037,Cool Roof
Harlem,35 West 134th Street,Manhattan,10037,Green Roof
Harlem,35 W. 135th Street,Manhattan,10037,Green Roof
Financial District,41 Park Row,Manhattan,10038,Green Roof
Manhattan,102 Bradhurst Ave,Manhattan,10039,Cool Roof
Harlem,2960 Fredrick Douglass Blvd,Manhattan,10039,Cool Roof
Harlem,89 Bradhurst Ave.,Manhattan,10039,Green Roof
Harlem,89 Bradhurst Avenue,Manhattan,10039,Green Roof
Morning Side Heights,16 Arden St,Manhattan,10040,Cool Roof
Morning Site Heights,75 Wadsworth Terrace,Manhattan,10040,Cool Roof
Morning Side Heights,510 West 188th Street,Manhattan,10040,Cool Roof
Morning Side Heights,12 Arden St,Manhattan,10040,Cool Roof
Battery Park City,20 River Terrace,Manhattan,10282,Green Roof
Battery Park City,325 North End Avenue,Manhattan,10282,Green Roof
Battery Park City,211 North End Avenue,Manhattan,10282,Green Roof
Tompkinsville,6 Victory Blvd.,Staten Island,10301,Green Roof
St George,Staten Island Ferry Viaduct,Staten Island,10301,Green Roof
Tompkinsville,6 Victory Blvd,Staten Island,10301,Green Roof
Mariners Harbor,80 Maple Parkway,Staten Island,10303,Blue Roof
West Concourse,851 Grand Concourse,Bronx,10451,Green Roof
Concourse Village,266 E 162nd Street,Bronx,10451,Green Roof
High Bridge,1665 Macombs Road,Bronx,10453,Cool Roof
