Neighborhood,RoofCount
Mott Haven,24
Lower East Side,21
East New York,19
Long Island City,16
Harlem,12
Fordham Heights,11
University Heights,11
East Harlem,10
Bedford Stuyvesant,9
Crown Heights,9
Chelsea,8
Brownsville,5
Far Rockaway,5
Fleetwood-Concourse Village,5
Upper West Side,5
Bushwick,4
High Bridge,4
Hunts Point,4
Morningside Heights,4
Morrisania,4
Murray Hill,4
Battery Park City,3
Bowery,3
Concourse Village,3
East Village,3
Flushing,3
Greenpoint,3
Kingsbridge Heights,3
Prospect Heights,3
Sunset Park,3
Washington Heights,3
Astoria,2
Brighton Beach,2
Concourse,2
Coney Island,2
Elmhurst,2
Fordham North,2
Gowanus,2
Greenwich Village,2
Hamilton Heights,2
Jamaica,2
Manhattan,2
Midtown,2
Park Slope,2
Rego Park,2
South Williamsburg,2
Sunnyside,2
Tompkinsville,2
West Farms,2
Alphabet City,1
Arverne,1
Bath Beach,1
Bay Ridge,1
Bayside,1
Bedford Park,1
Bergen Beach,1
Boro Park,1
Briarwood,1
Brooklyn Heights,1
Carol Gardens,1
Carroll Gardens,1
Castle Hill,1
Crotona Park,1
East Corona,1
East Elmhurst,1
East Flushing,1
East Tremont,1
Eastchester,1
Fieldston,1
Financial District,1
Flatiron,1
Flatiron District,1
Fleetwood Concourse Village,1
Forham Heights,1
Forham North,1
Fort Greene,1
Fresh Meadows,1
Gramercy Park,1
Hell's Kitchen,1
Hillcrest,1
Hollis,1
Kips Bay,1
Lincoln Square,1
Mariners Harbor,1
Melrose,1
Middle Village,1
Morningside Heights,1
Morris Heights,1
Morris Park,1
North Riverdale,1
Norwood,1
Oakland Gardens,1
Randall's Island,1
Richmond Hill,1
Soundview,1
South Bronx,1
St Albans,1
St George,1
Theater District,1
Upper East Side,1
West Concourse,1
West side,1
West Village,1
Williamsbridge,1
