Address,Latitude,Longitude,Zip,Roof
10-27 46th Ave,40.74668289,-73.95158069,11101,Cool
100-01 Northern Blvd,40.76193,-73.87413,11369,Cool
102 Bradhurst Ave,40.82460285,-73.94183305,10039,Cool
103 East 196th Street,40.86841254,-73.89407204,10468,Cool
106 Gerry Street,40.70248121,-73.94577107,11206,Cool
1061 Intervale  Ave,40.82501383,-73.89687493,10459,Cool
109 W129th st,40.8109,-73.95207,10027,Cool
1109 Clay Ave,40.82978024,-73.91210045,10456,Cool
1121 Bedford Ave,40.68527796,-73.95421414,11216,Cool
1122 Franklin Ave,40.82833751,-73.90563138,10456,Cool
1142 Lenox Rd,40.6594091,-73.91826673,11212,Cool
1145 Lenox Rd,40.65965549,-73.91806296,11212,Cool
118-124 E111th Street,40.79203,-73.9445,10029,Cool
12 Arden St,40.86143638,-73.92684933,10040,Cool
120 West 176th St,40.84939162,-73.91845983,10453,Cool
1205 Manhattan Ave,40.73832325,-73.9554986,11222,Cool
1344-1346 Bergen Street,40.67081,-73.93597,11213,Cool
1347 Morris Avenue,40.83688488,-73.91201052,10456,Cool
137 W14th St,40.74065,-73.99851,10011,Cool
138-46 Northern Blvd,40.76387046,-73.8278821,11354,Cool
1381 East New York Avenue,40.67834,-73.91982,11233,Cool
14 E. 28th St,40.74423403,-73.9863857,10016,Cool
1413 Sheridan Ave,40.83871349,-73.91256315,10456,Cool
1445 Pacific Street,40.67733616,-73.94372061,11216,Cool
1472 Montgomery Ave,40.84745192,-73.92110266,10453,Cool
149 Manhattan Ave,40.79918009,-73.9611749,10025,Cool
149 W108,40.79812,-73.96729,10025,Cool
1491 Montgomery Ave,40.84771432,-73.92101712,10453,Cool
1544 Park Place,40.67209312,-73.92612987,11213,Cool
155 3rd Street,40.67641886,-73.99073717,11231,Cool
155 beach 19th st,40.59333049,-73.75322622,11691,Cool
16 Arden St,40.8615353,-73.92692128,10040,Cool
16 Jones Street,40.73202394,-74.00241037,10014,Cool
1600 Pacific Ave,40.67683205,-73.93608653,11213,Cool
1601 University Ave,40.84699565,-73.92066311,10453,Cool
1605 University Ave,40.84715908,-73.92040762,10453,Cool
161 Corbin Place,40.5787649,-73.95417399,11235,Cool
1611 University Ave,40.84740424,-73.92002439,10453,Cool
1615 University Ave,40.84756767,-73.9197689,10453,Cool
1647 Macombs Road,40.84757042,-73.91629284,10453,Cool
1655 Macombs Road,40.84779589,-73.91627771,10453,Cool
1665 Andrews Ave,40.84859099,-73.91919594,10453,Cool
1665 Macombs Road,40.84788359,-73.91623733,10453,Cool
1669 Macombs Road,40.84808144,-73.91621935,10453,Cool
1669-75 University Ave,40.85229,-73.91098,10453,Cool
171 Milford Street,40.67536665,-73.87725172,11208,Cool
177 Myrtle Avenue,40.69365515,-73.98226779,11201,Cool
184 Eldridge St,40.72065404,-73.99061195,10002,Cool
1900 Sterling Place,40.67059125,-73.91536499,11233,Cool
1901 Mermaid Ave,40.57650418,-73.98602472,11224,Cool
1915 seagirt,40.59499486,-73.75331675,11691,Cool
1925 seagirt,40.59499572,-73.75339525,11691,Cool
193-20 Horace Harding Expressway,40.74163104,-73.78277354,11365,Cool
196-36 Northern Blvd,40.75777426,-73.78419958,11358,Cool
2 E 120th St,40.80318383,-73.94462715,10035,Cool
2001 University Ave,40.85580172,-73.91040642,10453,Cool
204-01 Hollis Avenue,40.70680695,-73.75373883,11412,Cool
206 East 118th Street,40.79902343,-73.93859448,10035,Cool
207 W 133rd St,40.81427593,-73.9451955,10030,Cool
2080 Lexington Ave,40.80474226,-73.93723272,10035,Cool
21 E 3rd St,40.72590855,-73.99057529,10003,Cool
21-10 Borden Avenue,40.74040562,-73.94990795,11101,Cool
210 Kosciusko Avenue,40.69113469,-73.94637886,11216,Cool
211 Meserole Avenue/ 120 Jewel Street,40.72732479,-73.95181846,11222,Cool
2112 30th Rd,40.76882419,-73.92803644,11102,Cool
214-20 Northern Blvd,40.76035258,-73.76846074,11361,Cool
216 West 112th Street,40.80099294,-73.95525891,10026,Cool
218 Gates Avenue,40.68548235,-73.95647797,11216,Cool
220 East 4th Street,40.72367823,-73.9835336,10009,Cool
221 122nd St,40.80160482,-73.93669361,10035,Cool
2240 Walton Avenue,40.85730849,-73.90339501,10453,Cool
2253 3rd Ave,40.80208752,-73.93691081,10035,Cool
227 Bowery,40.72210441,-73.99330923,10002,Cool
227 West 27th St,40.74693737,-73.9944068,10001,Cool
2270 Walton Avenue,40.85800097,-73.90297233,10453,Cool
2285 Davidson Avenue,40.85911613,-73.90464507,10468,Cool
2295 2nd Avenue,40.79815109,-73.9369667,10035,Cool
23 E 3rd St,40.72587257,-73.99050334,10003,Cool
230 123rd St,40.80204789,-73.93608958,10035,Cool
238-10 Hillsdale Ave,40.73332088,-73.72683805,11427,Cool
2383 2nd Ave,40.80086743,-73.93502886,10035,Cool
243 E204th St,40.86307,-73.88916,10458,Cool
247 Herkimer Street,40.67944467,-73.94506162,11216,Cool
25 E 3rd St,40.72584559,-73.99042241,10003,Cool
251 E. 119th Street,40.79944461,-73.93741367,10035,Cool
26 E 120th St,40.80281235,-73.94377368,10035,Cool
2640 Pitkin Ave,40.67494787,-73.87466318,11208,Cool
2666 Valentine Avenue,40.86574413,-73.89299885,10458,Cool
2670 Valentine Avenue,40.86584305,-73.89296288,10458,Cool
2674 Valentine Avenue,40.86595997,-73.89290892,10458,Cool
2690 Briggs Avenue,40.86634667,-73.89163188,10458,Cool
2690 Valentine Avenue,40.86639164,-73.89269308,10458,Cool
2694 Briggs Avenue,40.86619579,-73.89172435,10458,Cool
2698 Briggs Avenue,40.86627957,-73.89165484,10458,Cool
27 E 3rd St,40.72580962,-73.99034147,10003,Cool
275 E 168th st,40.83359337,-73.91348541,10456,Cool
2751 Grand Concourse,40.86828921,-73.89291791,10468,Cool
285 East 171st Street,40.83884565,-73.91011029,10457,Cool
2960 Fredrick Douglass Blvd,40.83008364,-73.93649088,10039,Cool
301 Henry St,40.71409101,-73.9828833,10002,Cool
3058 Bailey Ave,40.87756122,-73.90276549,10463,Cool
3060 Bailey Ave,40.87764216,-73.90269354,10463,Cool
309 Eldert,40.69299546,-73.9070005,11237,Cool
310 E 3rd St,40.72099825,-73.97906397,10009,Cool
312 Beach 54th Street,40.59283303,-73.78425465,11692,Cool
3161 Brighton 6th St,40.57557788,-73.96106853,11235,Cool
319 Albany Avenue,40.66970991,-73.93934991,11213,Cool
32-23 Queens Blvd,40.74499326,-73.93257716,11101,Cool
320 E 166th st,40.82986118,-73.91371024,10456,Cool
33-38 10th Street,40.76637804,-73.93774012,11106,Cool
330 Hinsdale Street,40.66699108,-73.89951545,11207,Cool
331 E. 86th St,40.77739473,-73.95052848,10028,Cool
333 Bowery,40.72595833,-73.99186336,10003,Cool
34-16 Astoria Blvd S,40.76955264,-73.91538298,11103,Cool
357 9th Street,40.66834294,-73.98449587,11215,Cool
3601 Surf Avenue,40.57318568,-74.00166393,11224,Cool
380 E 166th St,40.82931259,-73.9120375,10456,Cool
39-01 Queens Blvd,40.74424312,-73.92608228,11104,Cool
391 E 168th St,40.83249619,-73.91020288,10456,Cool
393 E 168th St,40.8324001,-73.90983141,10456,Cool
4-20 E. 117th Street,40.79625352,-73.93398096,10035,Cool
40-20 Broadway,40.75869783,-73.91844067,11103,Cool
409-411 East 146th Street,40.81514,-73.90785,10455,Cool
41 Whipple Street,40.70114305,-73.94501816,11206,Cool
411 east 136th Street,40.80769095,-73.92338321,10454,Cool
413-415 East 146th Street,40.81514,-73.90785,10455,Cool
415 Flatbush Ave,40.67180533,-73.96850593,11238,Cool
416 east 137th street,40.8080796,-73.92260453,10454,Cool
424 West 47th,40.76187494,-73.99108911,10036,Cool
43-10 11th Street,40.75141332,-73.94846903,11101,Cool
43-26 12th Street,40.75072983,-73.94789347,11101,Cool
43-31 39th Street,40.74525165,-73.92582774,11104,Cool
436 Logan,40.67552484,-73.87644572,11208,Cool
441 West 47th Street',40.76227713,-73.99182535,10036,Cool
445 146th Street,40.81366079,-73.91789978,10455,Cool
45-20 33rd Street,40.74354042,-73.93198418,11101,Cool
451 Prospect Pl,40.67610409,-73.9613743,11238,Cool
455 East 146th Street,40.81331365,-73.91703773,10455,Cool
46 Barrow Street,40.7320689,-74.00446982,10014,Cool
46-01 5th Street,40.74711456,-73.95508804,11101,Cool
46-02 21st St,40.74561269,-73.94823521,11101,Cool
466 Grand St,40.71519665,-73.98403689,10002,Cool
480-490 East 143th Street,40.80758,-73.91848,10454,Cool
486 Williams Ave,40.66387331,-73.89769331,11207,Cool
490 Williams Avenue,40.66374741,-73.89766633,11207,Cool
4912 14th Avenue,40.63363762,-73.99005882,11219,Cool
496 Williams Avenue,40.6636305,-73.89763036,11207,Cool
50 West 139th st,40.81593663,-73.9373614,10037,Cool
500 West 159th Street,40.83409286,-73.94123958,10032,Cool
502 Williams Avenue,40.66351358,-73.89760338,11207,Cool
505/509/511/517 144th Street,40.8115887,-73.91644626,10454,Cool
508 Williams Avenue,40.66337869,-73.8975764,11207,Cool
509-515 Court Street,40.68022,-74.00067,11231,Cool
510 West 188th Street,40.85276691,-73.92843214,10040,Cool
510/512 E 146th Street,40.81514,-73.90785,10455,Cool
511/513 E 146th Street,40.81514,-73.90785,10455,Cool
515 Blake Ave,40.66706591,-73.90011249,11207,Cool
520 144th Street,40.81151883,-73.91659692,10454,Cool
521 E 146th Street,40.81269698,-73.91511468,10455,Cool
521-525 East 145th Street,40.80758,-73.91848,10454,Cool
525 E 146th Street,40.81267969,-73.91506242,10455,Cool
530 144th Street,40.81144871,-73.91638462,10454,Cool
530/528 E 146th Street,40.81514,-73.90785,10455,Cool
537/545 E 146th Street,40.81514,-73.90785,10455,Cool
540 144th Street,40.81137858,-73.91617232,10454,Cool
540 21st Street,40.74690195,-74.00644941,10011,Cool
540 West 159th Street,40.83484342,-73.94292921,10032,Cool
542 West 159th Street,40.83489738,-73.94305511,10032,Cool
544 Hemlock,40.67574958,-73.86920974,11208,Cool
550 144th Street,40.81130845,-73.91596002,10454,Cool
5555 Mosholu Ave,40.90301402,-73.9038381,10471,Cool
56 E 4th St,40.72674492,-73.99081811,10003,Cool
560 144th Street,40.81123833,-73.91574772,10454,Cool
560 Lenox Avenue,40.8161735,-73.93920602,10037,Cool
561 Grand Ave,40.67850528,-73.96206678,11238,Cool
58 E 4th St,40.72671794,-73.99073717,10003,Cool
581 Ashford St,40.66775568,-73.88348504,11207,Cool
60 E 4th St,40.72668196,-73.99066522,10003,Cool
63 E 4th St,40.72678988,-73.99078213,10003,Cool
65 E 4th St,40.72675391,-73.9907012,10003,Cool
67 E 4th St,40.72672693,-73.99062026,10003,Cool
676 Cleveland Street,40.66781472,-73.88277865,11208,Cool
686 Lafayette Avenue,40.69041124,-73.94625415,11216,Cool
69 E 4th St,40.72668196,-73.99053932,10003,Cool
705 41st Street,40.6474215,-74.00046155,11232,Cool
71 E 4th St,40.72665498,-73.99045838,10003,Cool
73 E 4th St,40.72661901,-73.99037744,10003,Cool
732 Franklin Ave,40.67353203,-73.95694964,11238,Cool
734 Franklin Ave,40.67346009,-73.95698561,11238,Cool
743 East 9th Street and Avenue D,40.72639,-73.98097,10009,Cool
75 E 4th St,40.72658304,-73.9902965,10003,Cool
75 Wadsworth Terrace,40.85685883,-73.93078836,10040,Cool
77 E 4th St,40.72655606,-73.99021556,10003,Cool
781 Belmont,40.67284665,-73.88082779,11208,Cool
785 Crotona Park North,40.84071881,-73.89149252,10460,Cool
79-50 Bell Blvd,40.734505,-73.755669,11634,Cool
811 Knickerbocker Ave,40.69243578,-73.9071272,11207,Cool
812 Edgewater Rd,40.81777429,-73.88344805,10474,Cool
8224 Bay Parkway,40.60383457,-73.99190629,11214,Cool
83 2nd Ave,40.726628,-73.98913638,10003,Cool
85-70 148th st,40.70871351,-73.81009935,11435,Cool
869 Eastern Pkwy,40.66947609,-73.93959272,11213,Cool
89 E 3rd St,40.72480238,-73.98796726,10003,Cool
89-111 Porter Ave,40.70059,-73.9175,11237,Cool
9 E 3rd St,40.7261064,-73.99105193,10003,Cool
92-06 156th Street,40.66401121,-73.84200447,11414,Cool
930 West end Ave,40.80130745,-73.96871428,10025,Cool
934 Carroll Street,40.66827999,-73.9603131,11225,Cool
950 Dumont Ave,40.66789328,-73.8833761,11207,Cool
954 Dumont Ave,40.66791127,-73.88328617,11207,Cool
956 Dumont Ave,40.66792026,-73.88319624,11207,Cool
960 Dumont Ave,40.66793825,-73.88310631,11207,Cool
990 Pelham Parkway South,40.85674053,-73.8610092,10462,Cool
999 E 178th Street,40.84159957,-73.88071901,10460,Cool
10 Lincoln Center Plaza,40.7704972,-73.98061329,10023,Green Roof
1024 Dean Street,40.67749414,-73.95603578,11238,Green Roof
1095 Avenue of the Americas,40.7548,-73.9841,10036,Green Roof
1180 Tinton Avenue,40.82844516,-73.90048196,10456,Blue Roof
1201 Metropolitan Ave,40.71441877,-73.92843627,11237,Blue Roof
122 East 38th Street,40.74898899,-73.97860239,10016,Green Roof
1231 Lafayette Ave,40.8164125,-73.891125,10474,Green Roof
125 East 181st Street,40.85509177,-73.90343904,10453,Blue Roof
1250 Avenue of the Americas,40.7595053,-73.98046858,10020,Green Roof
1251 Prospect Place,40.67369311,-73.93479639,11213,Green Roof
1251 Prospect Place,40.67369311,-73.93479639,11213,Green Roof
127 East 22nd Street,40.73903323,-73.98523412,10010,Green Roof
13-06 Queens Plaza South,40.7523,-73.9441,11101,Green Roof
"1306 Queens Plaza South, Long Island City",40.7472,-73.9397,11101,Green Roof
13420 Dahlia Avenue,40.7519,-73.8264,11355,Green Roof
1347 Bristow Street,40.83167888,-73.89503257,10459,Green Roof
135 W 31st St,40.74850016,-73.99009264,10001,Green Roof
1400 Benson Ave.,40.611,-74.0135,11228,Blue Roof
142 Henry Street,40.71319075,-73.99019767,10002,Green Roof
14480 Barclay Avenue,40.7597,-73.8212,11355,Blue Roof
146 West 13th Street,40.73722317,-73.99908156,10011,Green Roof
1485 Fifth Avenue,40.80266256,-73.94479383,10035,Green Roof
149 East 38th Street,40.74888323,-73.97736269,10016,Green Roof
15-00 Hazen Street,40.7734,-73.8934,11370,Green Roof
1555 Linden Blvd,40.65562868,-73.90302021,11212,Green Roof
1555 Linden Blvd.,40.65562868,-73.90302021,11212,Green Roof
1585 E. 174th St.,40.83395714,-73.87787143,10472,Blue Roof
160 Convent Ave,40.81877275,-73.95081009,10031,Green Roof
160 Convent Avenue,40.81877275,-73.95081009,10031,Green Roof
160 Goethals Avenue,40.719,-73.8068,11432,Blue Roof
164 5th Avenue,40.74056094,-73.99056641,10010,Green Roof
1848 Cornaga Ave.,40.6033,-73.7465,11691,Green Roof
1887 Ralph Ave,40.6321,-73.9186,11236,Green Roof
190-20 109th Rd,40.7035,-73.7667,11412,Green Roof
195 East 3rd Street,40.72305292,-73.98335305,10009,Green Roof
1980 Lafayette Avenue,40.822,-73.8572,10473,Green Roof
2 Cooper Square,40.72763922,-73.99159612,10012,Green Roof
20 River Terrace,40.71802245,-74.0151551,10282,Green Roof
